iter	Passed	Remaining
363	1157	2022
364	1158	2015
365	1160	2009
366	1162	2005
367	1164	1999
368	1165	1992
369	1166	1986
370	1168	1980
371	1169	1974
372	1171	1968
373	1172	1962
374	1173	1956
375	1175	1950
376	1176	1943
377	1177	1937
378	1178	1931
379	1180	1926
380	1182	1920
381	1184	1916
382	1186	1912
383	1188	1906
384	1190	1901
385	1191	1895
386	1193	1889
387	1194	1883
388	1195	1877
389	1196	1871
390	1198	1866
391	1200	1862
392	1203	1858
393	1204	1852
394	1206	1847
395	1207	1841
396	1210	1837
397	1211	1832
398	1212	1827
399	1215	1823
400	1216	1817
401	1218	1812
402	1220	1807
403	1221	1802
404	1222	1796
405	1224	1790
406	1225	1785
407	1226	1779
408	1228	1774
409	1230	1770
410	1231	1765
411	1233	1760
412	1234	1755
413	1236	1749
414	1237	1744
415	1238	1738
416	1239	1733
417	1241	1728
418	1243	1724
419	1245	1719
420	1246	1714
421	1247	1708
422	1249	1703
423	1250	1698
424	1251	1693
425	1252	1687
426	1253	1682
427	1255	1677
428	1256	1672
429	1258	1668
430	1260	1663
431	1261	1659
432	1263	1653
433	1264	1648
434	1265	1643
435	1266	1638
436	1267	1633
437	1269	1628
438	1270	1623
439	1271	1618
440	1273	1613
441	1274	1608
442	1275	1604
443	1277	1599
444	1278	1594
445	1279	1589
446	1280	1584
447	1281	1579
448	1283	1574
449	1284	1570
450	1286	1565
451	1287	1560
452	1288	1555
453	1290	1551
454	1291	1546
455	1292	1542
456	1294	1537
457	1295	1532
458	1296	1528
459	1297	1523
460	1299	1518
461	1300	1514
462	1301	1509
463	1302	1505
464	1304	1500
465	1306	1496
466	1307	1492
467	1308	1487
468	1309	1482
469	1310	1478
470	1312	1473
471	1313	1468
472	1314	1464
473	1315	1459
474	1316	1455
475	1318	1451
476	1319	1446
477	1320	1442
478	1321	1437
479	1323	1433
480	1324	1428
481	1325	1424
482	1326	1420
483	1328	1415
484	1329	1411
485	1330	1407
486	1331	1402
487	1333	1398
488	1334	1394
489	1336	1390
490	1337	1386
491	1338	1382
492	1339	1377
493	1341	1373
494	1342	1369
495	1343	1365
496	1345	1361
497	1346	1357
498	1347	1353
499	1349	1349
500	1350	1344
501	1351	1340
502	1352	1336
503	1354	1332
504	1355	1328
505	1356	1324
506	1357	1320
507	1359	1316
508	1360	1312
509	1361	1308
510	1362	1304
511	1364	1300
512	1365	1296
513	1366	1291
514	1367	1287
515	1368	1283
516	1369	1279
517	1371	1275
518	1372	1271
519	1373	1267
520	1374	1263
521	1375	1259
522	1376	1255
523	1378	1251
524	1379	1248
525	1380	1244
526	1381	1240
527	1382	1236
528	1384	1232
529	1385	1228
530	1386	1224
531	1387	1220
532	1388	1216
533	1389	1212
534	1391	1209
535	1392	1205
536	1393	1201
537	1394	1197
538	1395	1193
539	1396	1190
540	1398	1186
541	1399	1182
542	1400	1178
543	1401	1174
544	1402	1171
545	1403	1167
546	1404	1163
547	1406	1159
548	1407	1156
549	1408	1152
550	1410	1149
551	1411	1145
552	1412	1141
553	1413	1137
554	1414	1134
555	1415	1130
556	1417	1127
557	1418	1123
558	1419	1119
559	1420	1116
560	1421	1112
561	1423	1109
562	1424	1105
563	1425	1102
564	1426	1098
565	1427	1094
566	1428	1091
567	1429	1087
568	1431	1083
569	1432	1080
570	1433	1076
571	1434	1073
572	1435	1069
573	1436	1066
574	1438	1063
575	1439	1059
576	1440	1056
577	1441	1052
578	1442	1049
579	1443	1045
580	1445	1042
581	1446	1038
582	1447	1035
583	1448	1031
584	1450	1028
585	1451	1025
586	1452	1022
587	1454	1019
588	1455	1015
589	1457	1012
590	1458	1009
591	1459	1006
592	1460	1002
593	1462	999
594	1463	996
595	1464	992
596	1465	989
597	1467	986
598	1468	983
599	1470	980
600	1471	976
601	1472	973
602	1474	970
603	1475	967
604	1476	964
605	1478	960
606	1479	957
607	1480	954
608	1481	951
609	1483	948
610	1484	944
611	1485	941
612	1486	938
613	1487	935
614	1488	932
615	1490	928
616	1491	925
617	1492	922
618	1493	919
619	1494	916
620	1495	912
621	1497	909
622	1498	906
623	1499	903
624	1500	900
625	1501	897
626	1502	894
627	1504	890
628	1505	887
629	1506	884
630	1508	881
631	1509	878
632	1511	876
633	1512	873
634	1513	870
635	1515	867
636	1516	864
637	1517	860
638	1518	857
639	1519	854
640	1520	851
641	1521	848
642	1522	845
643	1524	842
644	1525	839
645	1526	836
646	1528	833
647	1529	830
648	1530	827
649	1531	824
650	1532	821
651	1533	818
652	1535	815
653	1536	812
654	1537	809
655	1538	806
656	1540	803
657	1541	801
658	1542	798
659	1543	795
660	1544	792
661	1546	789
662	1547	786
663	1548	783
664	1549	780
665	1550	777
666	1551	774
667	1553	771
668	1554	769
669	1556	766
670	1557	763
671	1559	761
672	1560	758
673	1562	755
674	1564	753
675	1566	750
676	1567	747
677	1568	744
678	1570	742
679	1572	739
680	1573	737
681	1575	734
682	1576	731
683	1578	729
684	1579	726
685	1580	723
686	1582	720
687	1583	717
688	1584	715
689	1586	712
690	1588	710
691	1589	707
692	1590	704
693	1592	701
694	1593	699
695	1594	696
696	1595	693
697	1596	690
698	1597	688
699	1599	685
700	1600	682
701	1602	680
702	1603	677
703	1605	674
704	1606	672
705	1607	669
706	1608	666
707	1610	664
708	1611	661
709	1612	658
710	1614	656
711	1616	653
712	1617	651
713	1619	648
714	1620	645
715	1622	643
716	1624	641
717	1625	638
718	1627	635
719	1628	633
720	1630	630
721	1631	628
722	1633	625
723	1634	623
724	1636	620
725	1637	617
726	1638	615
727	1639	612
728	1640	609
729	1641	607
730	1643	604
731	1645	602
732	1647	600
733	1648	597
734	1649	594
735	1650	592
736	1652	589
737	1653	586
738	1654	584
739	1655	581
740	1656	579
741	1658	576
742	1659	574
743	1661	571
744	1662	569
745	1663	566
746	1665	563
747	1666	561
748	1667	558
749	1668	556
750	1669	553
751	1671	551
752	1672	548
753	1673	546
754	1675	543
755	1676	541
756	1678	538
757	1679	536
758	1680	533
759	1681	531
760	1682	528
761	1683	525
762	1685	523
763	1686	520
764	1687	518
765	1688	515
766	1690	513
767	1691	510
768	1692	508
769	1693	505
770	1694	503
771	1695	500
772	1697	498
773	1698	495
774	1699	493
775	1700	490
776	1701	488
777	1703	486
778	1704	483
779	1705	481
780	1707	478
781	1708	476
782	1709	473
783	1710	471
784	1711	468
785	1712	466
786	1714	463
787	1715	461
788	1716	459
789	1717	456
790	1719	454
791	1720	451
792	1721	449
793	1722	446
794	1723	444
795	1725	442
796	1726	439
797	1727	437
798	1728	434
799	1730	432
800	1731	430
801	1733	427
802	1734	425
803	1736	423
804	1737	420
805	1738	418
806	1739	416
807	1740	413
808	1742	411
809	1743	408
810	1744	406
811	1746	404
812	1747	401
813	1749	399
814	1750	397
815	1751	394
816	1752	392
817	1753	390
818	1755	387
819	1756	385
820	1757	383
821	1758	380
822	1760	378
823	1761	376
824	1762	373
825	1764	371
826	1765	369
827	1766	367
828	1768	364
829	1769	362
830	1770	360
831	1772	357
832	1773	355
833	1774	353
834	1776	350
835	1777	348
836	1779	346
837	1780	344
838	1781	341
839	1783	339
840	1784	337
841	1785	335
842	1786	332
843	1788	330
844	1789	328
845	1790	325
846	1791	323
847	1794	321
848	1795	319
849	1796	317
850	1798	314
851	1799	312
852	1800	310
853	1801	308
854	1803	305
855	1804	303
856	1805	301
857	1806	299
858	1808	296
859	1809	294
860	1810	292
861	1811	290
862	1813	287
863	1814	285
864	1815	283
865	1816	281
866	1817	278
867	1818	276
868	1820	274
869	1821	272
870	1822	269
871	1824	267
872	1825	265
873	1826	263
874	1827	261
875	1828	258
876	1830	256
877	1831	254
878	1832	252
879	1833	250
880	1834	247
881	1835	245
882	1837	243
883	1838	241
884	1839	239
885	1840	236
886	1842	234
887	1843	232
888	1844	230
889	1845	228
890	1846	225
891	1848	223
892	1849	221
893	1850	219
894	1851	217
895	1852	215
896	1854	212
897	1855	210
898	1856	208
899	1857	206
900	1858	204
901	1860	202
902	1861	199
903	1862	197
904	1864	195
905	1865	193
906	1866	191
907	1867	189
908	1869	187
909	1870	185
910	1871	182
911	1872	180
912	1873	178
913	1875	176
914	1876	174
915	1877	172
916	1878	170
917	1879	167
918	1881	165
919	1882	163
920	1883	161
921	1884	159
922	1885	157
923	1887	155
924	1888	153
925	1889	151
926	1890	148
927	1892	146
928	1893	144
929	1894	142
930	1895	140
931	1896	138
932	1897	136
933	1899	134
934	1900	132
935	1901	130
936	1902	127
937	1904	125
938	1905	123
939	1906	121
940	1907	119
941	1909	117
942	1910	115
943	1912	113
944	1913	111
945	1915	109
946	1916	107
947	1918	105
948	1919	103
949	1920	101
950	1922	99
951	1923	96
952	1925	94
953	1926	92
954	1928	90
955	1930	88
956	1931	86
957	1932	84
958	1934	82
959	1935	80
960	1936	78
961	1937	76
962	1938	74
963	1939	72
964	1940	70
965	1943	68
966	1944	66
967	1946	64
968	1947	62
969	1948	60
970	1949	58
971	1951	56
972	1952	54
973	1953	52
974	1954	50
975	1955	48
976	1957	46
977	1959	44
978	1960	42
979	1961	40
980	1962	38
981	1963	35
982	1965	33
983	1966	31
984	1967	29
985	1968	27
986	1969	25
987	1971	23
988	1972	21
989	1973	19
990	1974	17
991	1976	15
992	1977	13
993	1978	11
994	1979	9
995	1981	7
996	1982	5
997	1983	3
998	1984	1
999	1985	0
